samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
5,4,11263200,4800,0.978182
6,4,15844000,5800,0.967273
7,4,21272100,6800,0.978182
8,4,27504300,8600,0.974545
1,1,93900,1200,0.803636
2,1,411300,3100,0.84
3,1,957100,4400,0.810909
4,1,1555400,4500,0.807273
5,1,2306500,5500,0.825455
6,1,3346900,6000,0.818182
7,1,4645300,7800,0.821818
8,1,6211300,8600,0.818182
1,2,172900,1000,0.901818
2,2,691800,2500,0.898182
3,2,1700100,3500,0.898182
4,2,3035900,4200,0.905455
5,2,4775000,5400,0.912727
6,2,6576600,6900,0.934545
7,2,9711800,8200,0.941818
8,2,12849900,8500,0.938182
1,3,302200,1200,0.934545
2,3,1180600,2300,0.96
3,3,3025900,3100,0.949091
4,3,5075900,4200,0.956364
5,3,8504700,4900,0.967273
6,3,11442500,6000,0.974545
7,3,16793100,7600,0.974545
8,3,20834000,8300,0.970909
1,4,400500,1200,0.934545
2,4,1570600,2500,0.967273
3,4,3981600,3200,0.963636
4,4,6706900,4400,0.956364
5,4,11168800,4900,0.978182
6,4,16393200,6300,0.967273
7,4,22062200,6900,0.978182
8,4,27575100,8000,0.974545
1,1,93400,1100,0.803636
2,1,371700,2500,0.84
3,1,852700,3900,0.810909
4,1,1479200,4700,0.807273
5,1,2290600,5600,0.825455
6,1,3417100,6100,0.818182
7,1,4611500,8000,0.821818
8,1,6058600,8400,0.818182
1,2,173000,1200,0.901818
2,2,690700,2500,0.898182
3,2,1726100,3700,0.898182
4,2,3090700,4200,0.905455
5,2,4778400,5400,0.912727
6,2,6692500,7000,0.934545
7,2,9656100,7800,0.941818
8,2,12631900,8500,0.938182
1,3,304700,1100,0.934545
2,3,1163300,2400,0.96
3,3,3082800,3200,0.949091
4,3,4961000,4300,0.956364
5,3,9108800,5200,0.967273
6,3,12628200,6600,0.974545
7,3,16226700,6900,0.974545
8,3,21353300,9400,0.970909
1,4,442300,1400,0.934545
2,4,1550400,2400,0.967273
3,4,3989600,3100,0.963636
4,4,6716800,4200,0.956364
5,4,11179200,4900,0.978182
6,4,15994900,5600,0.967273
7,4,21529100,6700,0.978182
8,4,27387400,7900,0.974545
1,1,93700,1200,0.803636
2,1,372200,2600,0.84
3,1,856500,3600,0.810909
4,1,1482200,4500,0.807273
5,1,2497200,5500,0.825455
6,1,3347700,6200,0.818182
7,1,4746800,7800,0.821818
8,1,6045400,8500,0.818182
1,2,538400,2600,0.901818
2,2,691200,2500,0.898182
3,2,1700600,3700,0.898182
4,2,3036500,4200,0.905455
5,2,4777400,5300,0.912727
6,2,6602200,6800,0.934545
7,2,9677500,8200,0.941818
8,2,12650500,8300,0.938182
1,3,302100,1200,0.934545
2,3,1251600,2400,0.96
3,3,3021600,3000,0.949091
4,3,5118700,4300,0.956364
5,3,8399700,4600,0.967273
6,3,11356000,5900,0.974545
7,3,16241300,8300,0.974545
8,3,21191500,8000,0.970909
1,4,400800,1300,0.934545
2,4,1590500,2200,0.967273
3,4,4086400,3300,0.963636
4,4,6789900,4400,0.956364
5,4,11263900,4800,0.978182
6,4,16141800,5800,0.967273
7,4,21066700,6700,0.978182
8,4,28914000,8300,0.974545
1,1,93300,1300,0.803636
2,1,375300,2600,0.84
3,1,861300,3800,0.810909
4,1,1493800,4400,0.807273
5,1,2294500,5600,0.825455
6,1,3346100,6100,0.818182
7,1,4763000,7900,0.821818
8,1,6092400,8600,0.818182
1,2,172300,1100,0.901818
2,2,696800,2600,0.898182
3,2,1712800,3500,0.898182
4,2,3069900,4400,0.905455
5,2,4795300,5600,0.912727
6,2,6558200,6900,0.934545
7,2,9682300,8000,0.941818
8,2,12726500,8500,0.938182
1,3,302600,1200,0.934545
2,3,1179400,2400,0.96
3,3,3022100,3100,0.949091
4,3,5108000,4100,0.956364
5,3,8471900,5300,0.967273
6,3,11378600,6000,0.974545
7,3,15887200,6600,0.974545
8,3,20523000,8200,0.970909
1,4,401100,1300,0.934545
2,4,1550600,2300,0.967273
3,4,4080900,3300,0.963636
4,4,6697200,4300,0.956364
5,4,11047600,5000,0.978182
6,4,15849400,5700,0.967273
7,4,21096400,6800,0.978182
8,4,27140500,8000,0.974545
1,1,93600,1300,0.803636
2,1,372200,2700,0.84
3,1,856700,3800,0.810909
4,1,1482500,4400,0.807273
5,1,2312500,5600,0.825455
6,1,3328200,6000,0.818182
7,1,4701400,7600,0.821818
8,1,6021800,8100,0.818182
1,2,172900,1100,0.901818
2,2,691100,2600,0.898182
3,2,1699000,3500,0.898182
4,2,3037600,4200,0.905455
5,2,4799600,5200,0.912727
6,2,11904000,9900,0.934545
7,2,10653200,11600,0.941818
8,2,12688300,10100,0.938182
1,3,303500,1200,0.934545
2,3,1167900,2400,0.96
3,3,3007600,4000,0.949091
4,3,5004800,4300,0.956364
5,3,8494700,4900,0.967273
6,3,11452400,5900,0.974545
7,3,15973700,6800,0.974545
8,3,20611100,7800,0.970909
1,4,418800,1300,0.934545
2,4,1573500,2400,0.967273
3,4,4061100,3200,0.963636
4,4,6839500,4400,0.956364
5,4,11672800,4900,0.978182
6,4,15938500,5600,0.967273
7,4,21344000,6800,0.978182
8,4,27413200,8800,0.974545
1,1,94000,1200,0.803636
2,1,376400,2700,0.84
3,1,867800,3500,0.810909
4,1,1482400,4500,0.807273
5,1,2290200,5400,0.825455
6,1,3331700,6000,0.818182
7,1,4735800,8100,0.821818
8,1,6020300,8200,0.818182
1,2,174100,1100,0.901818
2,2,691200,2600,0.898182
3,2,1699800,3600,0.898182
4,2,3122900,4500,0.905455
5,2,4799800,5500,0.912727
6,2,6664400,6900,0.934545
7,2,10204300,9200,0.941818
8,2,12757500,8700,0.938182
1,3,302300,1100,0.934545
2,3,1222200,3200,0.96
3,3,3022400,3100,0.949091
4,3,5094500,4400,0.956364
5,3,8348900,4800,0.967273
6,3,11306400,5700,0.974545
7,3,15903900,7000,0.974545
8,3,20812400,8200,0.970909
1,4,554500,1400,0.934545
2,4,1566800,2300,0.967273
3,4,4025400,3200,0.963636
4,4,6761200,4600,0.956364
5,4,11214000,4800,0.978182
6,4,15916300,5600,0.967273
7,4,21259800,6800,0.978182
8,4,27553600,8100,0.974545
1,1,93400,1200,0.803636
2,1,375400,2700,0.84
3,1,862900,3600,0.810909
4,1,1493700,4400,0.807273
5,1,2299200,5600,0.825455
6,1,3370200,6200,0.818182
7,1,4915000,8000,0.821818
8,1,6115600,8200,0.818182
1,2,174400,1000,0.901818
2,2,697000,2600,0.898182
3,2,1696100,3600,0.898182
4,2,3039300,4300,0.905455
5,2,4802200,5400,0.912727
6,2,6541700,6900,0.934545
7,2,9592800,7800,0.941818
8,2,12623800,8700,0.938182
1,3,302900,1300,0.934545
2,3,1193100,2400,0.96
3,3,2997300,3100,0.949091
4,3,5154300,4400,0.956364
5,3,8435800,5100,0.967273
6,3,11376900,7300,0.974545
7,3,15880400,7300,0.974545
8,3,20322600,7800,0.970909
1,4,402300,1300,0.934545
2,4,1551200,2300,0.967273
3,4,4087600,3000,0.963636
4,4,6730200,4100,0.956364
5,4,11104300,4900,0.978182
6,4,15873700,5700,0.967273
7,4,21598700,6800,0.978182
8,4,27098400,7900,0.974545
1,1,93100,1300,0.803636
2,1,371000,2600,0.84
3,1,864100,3500,0.810909
4,1,1491200,4600,0.807273
5,1,2315200,5400,0.825455
6,1,3359500,6100,0.818182
7,1,4615900,7800,0.821818
8,1,6041600,8300,0.818182
1,2,172900,1100,0.901818
2,2,689200,2600,0.898182
3,2,1696600,3500,0.898182
4,2,3072800,4400,0.905455
5,2,4827800,7500,0.912727
6,2,6578300,6800,0.934545
7,2,10593200,8800,0.941818
8,2,13186400,9100,0.938182
1,3,304200,1300,0.934545
2,3,1307800,2600,0.96
3,3,3332900,3500,0.949091
4,3,5131300,4000,0.956364
5,3,8491000,4900,0.967273
6,3,11448400,6000,0.974545
7,3,16029300,7000,0.974545
8,3,20553700,8000,0.970909
1,4,403200,1300,0.934545
2,4,1579500,2400,0.967273
3,4,3983200,3100,0.963636
4,4,6955900,4400,0.956364
5,4,11291800,4700,0.978182
6,4,16014400,5500,0.967273
7,4,21339500,7000,0.978182
8,4,27363500,9100,0.974545
1,1,94100,1200,0.803636
2,1,373900,2600,0.84
3,1,857500,3500,0.810909
4,1,1639700,5100,0.807273
5,1,2538300,6000,0.825455
6,1,3567000,6100,0.818182
7,1,4616900,8000,0.821818
8,1,6712600,9600,0.818182
1,2,190800,1200,0.901818
2,2,701300,2600,0.898182
3,2,1695600,3700,0.898182
4,2,3076600,4400,0.905455
5,2,4833200,5400,0.912727
6,2,7132900,7900,0.934545
7,2,10480000,8000,0.941818
8,2,12611900,8800,0.938182
1,3,303600,1200,0.934545
2,3,1184000,2500,0.96
3,3,3022000,3200,0.949091
4,3,5131600,4300,0.956364
5,3,8433000,4800,0.967273
6,3,11549900,6000,0.974545
7,3,16011000,7200,0.974545
8,3,20464800,8000,0.970909
1,4,403100,1300,0.934545
2,4,1574700,2300,0.967273
3,4,4030900,3300,0.963636
4,4,7434200,4200,0.956364
5,4,11224800,5000,0.978182
6,4,15817900,5600,0.967273
7,4,21593900,7200,0.978182
8,4,27320500,8000,0.974545
1,1,93900,1300,0.803636
2,1,376700,2500,0.84
3,1,862300,3900,0.810909
4,1,1491400,4400,0.807273
5,1,2388000,5600,0.825455
6,1,3355000,5900,0.818182
7,1,4736100,8200,0.821818
8,1,6063900,8200,0.818182
1,2,267300,1000,0.901818
2,2,692500,2500,0.898182
3,2,1741100,3600,0.898182
4,2,3177200,4200,0.905455
5,2,4836500,5600,0.912727
6,2,6615500,7000,0.934545
7,2,9706300,8200,0.941818
8,2,12590100,8500,0.938182
1,3,303000,1300,0.934545
2,3,1269900,3000,0.96
3,3,3020500,3200,0.949091
4,3,5140400,4300,0.956364
5,3,8390000,4700,0.967273
6,3,11427600,6100,0.974545
7,3,16062400,7100,0.974545
8,3,20657800,7800,0.970909
1,4,402700,1300,0.934545
2,4,1606000,2300,0.967273
3,4,4072100,3200,0.963636
4,4,6863300,4400,0.956364
5,4,11311400,4900,0.978182
6,4,15906000,5800,0.967273
7,4,21264300,6700,0.978182
8,4,27362200,8100,0.974545
1,1,93800,1300,0.803636
2,1,382700,3000,0.84
3,1,884900,3600,0.810909
4,1,1509700,4600,0.807273
5,1,2515100,6000,0.825455
6,1,3358400,6200,0.818182
7,1,5023500,8100,0.821818
8,1,6048600,8200,0.818182
1,2,172900,1100,0.901818
2,2,696800,2500,0.898182
3,2,1713600,3500,0.898182
4,2,3093400,4400,0.905455
5,2,4798800,5600,0.912727
6,2,6636600,7000,0.934545
7,2,9873400,7900,0.941818
8,2,12597900,8500,0.938182
1,3,304200,1200,0.934545
2,3,1168400,2400,0.96
3,3,3016500,3200,0.949091
4,3,5093000,4300,0.956364
5,3,8450000,5200,0.967273
6,3,11428900,6000,0.974545
7,3,16102100,7000,0.974545
8,3,20419600,8200,0.970909
1,4,401000,1200,0.934545
2,4,1574000,2300,0.967273
3,4,4142300,3000,0.963636
4,4,6735700,4200,0.956364
5,4,11102200,4900,0.978182
6,4,15895600,5600,0.967273
7,4,21257600,6900,0.978182
8,4,27566500,8000,0.974545
1,1,93800,1100,0.803636
2,1,376500,2700,0.84
3,1,863500,3400,0.810909
4,1,1489600,4800,0.807273
5,1,2300500,5500,0.825455
6,1,3355000,6200,0.818182
7,1,4649600,7900,0.821818
8,1,6119600,8600,0.818182
1,2,173200,1200,0.901818
2,2,699400,2600,0.898182
3,2,1884300,3800,0.898182
4,2,3057000,4500,0.905455
5,2,4860300,5500,0.912727
6,2,6590600,6800,0.934545
7,2,9905100,8000,0.941818
8,2,12598400,8700,0.938182
1,3,303900,1200,0.934545
2,3,1207600,2300,0.96
3,3,3065600,3300,0.949091
4,3,5034700,4100,0.956364
5,3,8493200,5000,0.967273
6,3,11473700,5700,0.974545
7,3,16021900,6800,0.974545
8,3,20653200,8300,0.970909
1,4,403300,1200,0.934545
2,4,1574200,2500,0.967273
3,4,4147600,3100,0.963636
4,4,6817200,4200,0.956364
5,4,11221700,5000,0.978182
6,4,16032100,5500,0.967273
7,4,21260800,7100,0.978182
8,4,27121800,8200,0.974545
1,1,93900,1200,0.803636
2,1,377100,2800,0.84
3,1,888900,3600,0.810909
4,1,1526500,4700,0.807273
5,1,2333000,5900,0.825455
