samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
8,3,1280800,22700,1
1,4,244800,3000,0.996364
2,4,393300,5900,0.996364
3,4,646700,9500,0.996364
4,4,862000,12800,1
5,4,980200,14600,1
6,4,1173700,17200,1
7,4,1364400,20300,1
8,4,1550400,22800,1
1,1,128600,2500,0.836364
2,1,255800,4900,0.872727
3,1,382000,7400,0.861818
4,1,506200,9800,0.869091
5,1,632600,12100,0.850909
6,1,758200,14400,0.861818
7,1,884200,16900,0.861818
8,1,1009000,19400,0.861818
1,2,147800,3100,0.916364
2,2,289800,5600,0.916364
3,2,431800,8200,0.92
4,2,576700,11100,0.916364
5,2,858100,15900,0.934545
6,2,952100,18100,0.927273
7,2,1106400,21100,0.938182
8,2,1267800,24400,0.927273
1,3,179900,3400,0.989091
2,3,355400,6500,0.992727
3,3,532300,9600,1
4,3,726500,11700,1
5,3,805000,14400,1
6,3,963600,17100,0.996364
7,3,1124200,20000,1
8,3,1281900,22800,1
1,4,199900,3100,0.996364
2,4,393900,5900,0.996364
3,4,587900,8600,0.996364
4,4,784500,11800,1
5,4,1077600,16200,1
6,4,1289000,19100,1
7,4,1498700,22000,1
8,4,1576700,22600,1
1,1,128500,2500,0.836364
2,1,256100,4900,0.872727
3,1,382800,7400,0.861818
4,1,509700,9600,0.869091
5,1,636700,12200,0.850909
6,1,763800,14600,0.861818
7,1,891200,17000,0.861818
8,1,1171100,21500,0.861818
1,2,161300,3300,0.916364
2,2,289500,5500,0.916364
3,2,431700,8000,0.92
4,2,576300,11000,0.916364
5,2,722500,13800,0.934545
6,2,865200,16600,0.927273
7,2,1006000,19300,0.938182
8,2,1615800,22500,0.927273
1,3,163800,3000,0.989091
2,3,323100,5800,0.992727
3,3,483500,8600,1
4,3,645800,11700,1
5,3,806400,14400,1
6,3,963100,17000,0.996364
7,3,1303800,19800,1
8,3,1281900,22800,1
1,4,199700,3000,0.996364
2,4,393400,6000,0.996364
3,4,589500,8700,0.996364
4,4,785100,11800,1
5,4,977000,14600,1
6,4,1171700,17300,1
7,4,1361400,20200,1
8,4,1550500,22800,1
1,1,127700,2500,0.836364
2,1,253700,5000,0.872727
3,1,379100,7400,0.861818
4,1,506100,9700,0.869091
5,1,632300,12200,0.850909
6,1,758500,14500,0.861818
7,1,884600,17000,0.861818
8,1,1009200,19400,0.861818
1,2,146700,2900,0.916364
2,2,289700,5600,0.916364
3,2,431400,8100,0.92
4,2,576000,11200,0.916364
5,2,720300,13700,0.934545
6,2,954300,18200,0.927273
7,2,1006400,19300,0.938182
8,2,1152000,22100,0.927273
1,3,163300,3000,0.989091
2,3,323200,5800,0.992727
3,3,482700,8700,1
4,3,644900,11700,1
5,3,904800,14200,1
6,3,963300,17300,0.996364
7,3,1123600,20000,1
8,3,1281200,22600,1
1,4,199900,3100,0.996364
2,4,393300,6000,0.996364
3,4,587700,8500,0.996364
4,4,784800,11800,1
5,4,977400,14600,1
6,4,1170300,17300,1
7,4,1363000,20200,1
