samples_proportion,x_vars_proportion,time
4,1,1514400
5,1,2492200
6,1,3784500
7,1,4887600
8,1,6365300
1,2,204500
2,2,841300
3,2,1693800
4,2,3175200
5,2,5083300
6,2,7517500
7,2,10487800
8,2,13469900
1,3,324500
2,3,1237500
3,3,2850700
4,3,5537000
5,3,8882000
6,3,12587000
7,3,17322000
8,3,23186100
1,4,424200
2,4,2013200
3,4,4128200
4,4,7050600
5,4,11807000
6,4,16857500
7,4,23183500
8,4,30358200
1,1,99500
2,1,436800
3,1,883400
4,1,1676800
5,1,2898800
6,1,3862700
7,1,4958900
8,1,6550000
1,2,179900
2,2,719400
3,2,2159100
4,2,3107600
5,2,5103400
6,2,7308500
7,2,10230800
8,2,13343100
1,3,328500
2,3,1234300
3,3,2966100
4,3,6407000
5,3,8934700
6,3,13528500
7,3,17714900
8,3,24263900
1,4,487700
2,4,1679000
3,4,4119900
4,4,6904200
5,4,11652300
6,4,18284700
7,4,23796400
8,4,30464900
1,1,95600
2,1,408900
3,1,827300
4,1,1502800
5,1,2716300
6,1,4164600
7,1,4982300
8,1,6711900
1,2,213500
2,2,771100
3,2,1777900
4,2,3086600
5,2,5086500
6,2,7248400
7,2,11268900
8,2,14185000
1,3,316900
2,3,1252800
3,3,2908800
4,3,5211100
5,3,8624000
6,3,12652100
7,3,17332100
8,3,22822000
1,4,429200
2,4,1620600
3,4,3880500
4,4,6946400
5,4,11803200
6,4,16800600
7,4,23078900
8,4,30553200
1,1,94100
2,1,454600
3,1,882000
4,1,1520600
5,1,2407600
6,1,3554300
7,1,4921200
8,1,6345600
1,2,191600
2,2,852400
3,2,1756000
4,2,3659400
5,2,5235500
6,2,7406000
7,2,10604700
8,2,13499100
1,3,316500
2,3,1248600
3,3,3398200
4,3,5188100
5,3,8776400
6,3,12909100
7,3,17556400
8,3,23322700
1,4,433500
2,4,1830300
3,4,3806900
4,4,7075800
5,4,11543800
6,4,16911100
7,4,23294400
8,4,30440100
1,1,101100
2,1,367300
3,1,831500
4,1,1559800
5,1,2447700
6,1,3535800
7,1,4887300
8,1,6921700
1,2,182900
2,2,734100
3,2,1690200
4,2,3123300
5,2,5498600
6,2,7403400
7,2,10416100
8,2,13561100
1,3,320900
2,3,1211700
3,3,2903700
4,3,5150200
5,3,8647900
6,3,12611600
7,3,17725800
8,3,22866000
1,4,424600
2,4,1683500
3,4,4138000
4,4,6882600
5,4,11638900
6,4,17342200
7,4,23197500
8,4,31133100
1,1,95400
2,1,358300
3,1,825000
4,1,1515900
5,1,2471200
6,1,3640500
7,1,4927600
8,1,6355300
1,2,181500
2,2,733500
3,2,1711700
4,2,3323000
5,2,5038900
6,2,7714800
7,2,10523900
8,2,13561800
1,3,341300
2,3,1256600
3,3,2946700
4,3,5424100
5,3,8708500
6,3,12809000
7,3,17428500
8,3,23499400
1,4,444700
2,4,1653000
3,4,3858700
4,4,7039900
5,4,11572300
6,4,17747700
7,4,23168100
8,4,31408700
1,1,97700
2,1,353300
3,1,818300
4,1,1504100
5,1,2396300
6,1,3503300
7,1,4955600
8,1,6736100
1,2,188000
2,2,728300
3,2,1696200
4,2,3094800
5,2,5260700
6,2,7306300
7,2,10350700
8,2,13480300
1,3,326200
2,3,1289600
3,3,2991800
4,3,5194400
5,3,8801400
6,3,12560500
7,3,17745800
8,3,22687300
1,4,426700
2,4,1612100
3,4,3919000
4,4,6838300
5,4,11678400
6,4,17757400
7,4,23229700
8,4,30471500
1,1,103900
2,1,400800
3,1,833900
4,1,1508400
5,1,2433700
6,1,3523100
7,1,4913800
8,1,6413400
1,2,184300
2,2,723800
3,2,1667800
4,2,3278500
5,2,5316500
6,2,7362100
7,2,10398100
8,2,14039000
1,3,319300
2,3,1676100
3,3,3518200
4,3,5251600
5,3,9025100
6,3,12804600
7,3,18341000
8,3,23871300
1,4,667300
2,4,2018800
3,4,4356000
4,4,7621800
5,4,12082300
6,4,16895400
7,4,23451000
8,4,30093200
1,1,93600
2,1,361000
3,1,979400
4,1,1499600
5,1,2407500
6,1,3508900
7,1,4857200
8,1,6339600
1,2,186800
2,2,727900
3,2,1672300
4,2,3546300
5,2,5342300
6,2,7858900
7,2,10770000
8,2,14305900
1,3,401500
2,3,1248900
3,3,2912200
4,3,5188100
5,3,9298200
6,3,13680600
7,3,18334200
8,3,23698800
1,4,473300
2,4,1691000
3,4,3821600
4,4,6907700
5,4,11788500
6,4,17900400
7,4,24279000
8,4,32348600
1,1,118400
2,1,407400
3,1,930900
4,1,1506600
5,1,2444000
6,1,3493700
7,1,5208000
8,1,7230000
1,2,255200
2,2,736900
3,2,1696600
4,2,3092700
5,2,5335600
6,2,7366500
7,2,10249700
8,2,13540200
1,3,322400
2,3,1231400
3,3,2916700
4,3,5255900
5,3,9174800
6,3,14104400
7,3,17432800
8,3,22866600
1,4,420700
2,4,2027900
3,4,4487300
4,4,6975800
5,4,12720800
6,4,17903600
7,4,23507100
8,4,32174900
1,1,147800
2,1,430400
3,1,877700
4,1,1927500
5,1,2530800
6,1,3524200
7,1,5061300
8,1,6470300
1,2,181000
2,2,723700
3,2,1959400
4,2,3099500
5,2,5009500
6,2,7525500
7,2,11344000
8,2,13963800
1,3,326600
2,3,1210800
3,3,2848100
4,3,5476400
5,3,8578100
6,3,12480100
7,3,17517700
8,3,23214800
1,4,480200
2,4,1818600
3,4,3886600
4,4,7069100
5,4,11724700
6,4,17868700
7,4,23393400
8,4,30465200
1,1,95000
2,1,367800
3,1,856800
4,1,1507800
5,1,2427400
6,1,3528500
7,1,5213900
8,1,6602100
1,2,183400
2,2,714100
3,2,1957400
4,2,3105200
5,2,5310000
6,2,7235800
7,2,10288300
8,2,13333300
1,3,319600
2,3,1287400
3,3,2994800
4,3,5193000
5,3,8973800
6,3,12789400
7,3,17413400
8,3,22593200
1,4,430800
2,4,1778500
3,4,4217800
4,4,7032900
5,4,11722200
6,4,17002400
7,4,23327100
8,4,31433900
1,1,94600
2,1,373200
3,1,1077600
4,1,1525200
5,1,2429700
6,1,3520400
7,1,4899000
8,1,6356600
1,2,189000
2,2,724500
3,2,1907700
4,2,3338500
5,2,5070800
6,2,7489200
7,2,10652900
8,2,13461500
1,3,318800
2,3,1242700
3,3,3362000
4,3,5224200
5,3,9410900
6,3,12899900
7,3,17205500
8,3,23069900
1,4,433600
2,4,2179000
3,4,3793100
4,4,8242800
5,4,12080000
6,4,18399600
7,4,23219000
8,4,30392500
1,1,103700
2,1,395700
3,1,901400
4,1,1519400
5,1,2522900
6,1,3558700
7,1,4857600
8,1,6998700
1,2,199800
2,2,706900
3,2,1711100
4,2,3283800
5,2,5059200
6,2,7481000
7,2,10249300
8,2,13473200
1,3,315400
2,3,1330900
3,3,2867100
4,3,5300100
5,3,8600300
6,3,12731100
7,3,17475000
8,3,22994900
1,4,427500
2,4,1610200
3,4,3852300
4,4,7206700
5,4,11400100
6,4,17204000
7,4,24537800
8,4,30317400
1,1,94600
2,1,362000
3,1,837500
4,1,1729400
5,1,2539700
6,1,3535400
7,1,4877900
8,1,6747200
1,2,181900
2,2,705200
3,2,1810100
4,2,3106600
5,2,5764700
6,2,8298800
7,2,11196600
8,2,14511800
1,3,353000
2,3,1514300
3,3,3335300
4,3,5360000
5,3,8666300
6,3,14222000
7,3,17870100
8,3,22943500
1,4,422200
2,4,1856800
3,4,3832900
4,4,7231600
5,4,11552400
6,4,16980400
7,4,23352700
8,4,32014300
1,1,95400
2,1,401600
3,1,903400
4,1,1787000
5,1,2416500
6,1,3744700
7,1,5099700
8,1,7602500
1,2,201200
2,2,942400
3,2,1872600
4,2,3130600
5,2,5041700
6,2,7664000
7,2,10860100
8,2,14682100
1,3,331200
2,3,1223200
3,3,2965700
4,3,5187700
5,3,8533200
6,3,12740800
7,3,18378500
8,3,24816100
1,4,418300
2,4,1603000
3,4,3855200
4,4,7641500
5,4,12444800
6,4,18539000
7,4,24595100
8,4,30467400
1,1,97500
2,1,363400
3,1,881100
4,1,2183400
5,1,2413400
6,1,3691600
7,1,4900400
8,1,6569700
1,2,183900
2,2,706800
3,2,1683400
4,2,3115500
5,2,5049700
6,2,7570000
7,2,10340600
8,2,13806800
1,3,353000
2,3,1383500
3,3,2926400
4,3,5251600
5,3,9587700
6,3,12615400
7,3,17491400
8,3,23030500
1,4,421600
2,4,1669200
3,4,3826700
4,4,7253300
5,4,12990300
6,4,17856900
7,4,23512200
8,4,31823600
1,1,125700
2,1,403800
3,1,982600
4,1,1852400
5,1,2418000
6,1,3616200
7,1,5160400
8,1,6942700
1,2,199200
2,2,975300
3,2,1687400
4,2,3147700
5,2,5481600
6,2,7575700
7,2,10337500
8,2,13922100
1,3,327400
2,3,1347600
3,3,2908100
4,3,5461300
5,3,8575000
6,3,12562300
7,3,18405500
8,3,22876200
1,4,420900
2,4,1662500
3,4,4263200
4,4,7787500
5,4,11339400
6,4,17604700
7,4,23383900
8,4,30674800
1,1,96500
2,1,399900
3,1,923100
4,1,1655100
5,1,2651500
6,1,3928500
7,1,4848100
8,1,7203400
1,2,200500
2,2,775300
3,2,1853400
4,2,3418300
5,2,5004800
6,2,7622900
7,2,11998800
8,2,15044100
1,3,316400
2,3,1216200
3,3,2864800
4,3,5868500
5,3,9542700
6,3,13279800
7,3,17590200
8,3,23525700
1,4,434600
2,4,1784600
3,4,4180400
4,4,6913100
5,4,11572700
6,4,17115400
7,4,23057100
8,4,31994400
1,1,104300
2,1,390900
3,1,1188800
4,1,1539600
5,1,2410400
6,1,3640800
7,1,5228000
8,1,6443000
1,2,183800
2,2,717700
3,2,1672500
4,2,3449800
5,2,5027300
6,2,7307500
7,2,10404900
8,2,13648300
1,3,346200
2,3,1211400
3,3,2835700
4,3,5365600
5,3,8917100
6,3,12733000
7,3,18214400
8,3,22894000
1,4,425500
2,4,2451000
3,4,4200200
4,4,7053600
5,4,11663300
6,4,17006700
7,4,23161500
8,4,31465200
1,1,105900
2,1,392200
3,1,919500
4,1,1604500
5,1,2368200
6,1,3756200
7,1,4860500
8,1,6347300
1,2,181500
2,2,711500
3,2,1664600
4,2,3074900
5,2,4993700
6,2,7625500
7,2,10204900
8,2,13504200
1,3,321500
2,3,1431200
3,3,2888500
4,3,5289200
5,3,8588400
6,3,12688400
7,3,17495200
8,3,22943200
1,4,425200
2,4,1641900
3,4,3777500
4,4,7035200
5,4,11811200
6,4,17012400
7,4,24977900
8,4,31231600
1,1,94400
2,1,362300
3,1,821800
4,1,1502200
5,1,2402500
6,1,3501400
7,1,5345300
8,1,7183800
1,2,200500
2,2,776300
3,2,1669200
4,2,3154500
5,2,4995100
6,2,7497400
7,2,10299200
8,2,13652400
1,3,322000
2,3,1221300
3,3,2872700
4,3,5210900
5,3,8596200
6,3,12592600
7,3,17471200
8,3,22629100
1,4,449200
2,4,1613200
3,4,4086900
4,4,6859700
5,4,11850200
6,4,16962200
7,4,24313100
8,4,30047100
1,1,95500
2,1,354000
3,1,816500
4,1,1501400
5,1,2433600
6,1,3498400
7,1,4987200
8,1,6362500
1,2,180300
2,2,708400
3,2,1663100
4,2,3133600
5,2,5256100
6,2,7252800
7,2,10243700
8,2,13350500
1,3,322700
2,3,1350400
3,3,3147400
4,3,5561300
5,3,8704500
6,3,12942200
7,3,17518200
8,3,23404400
1,4,427700
2,4,1621200
3,4,3833400
4,4,6886800
5,4,11639200
6,4,19538100
7,4,23676800
8,4,32169400
1,1,94200
2,1,358400
3,1,883400
4,1,1505000
5,1,2636300
6,1,3792600
7,1,4939500
8,1,6383800
1,2,183200
2,2,707600
3,2,1681600
4,2,3190900
5,2,5080900
6,2,7282100
7,2,10370100
8,2,13855400
1,3,317900
2,3,1304600
3,3,2853700
4,3,5229300
5,3,8796000
6,3,12820100
7,3,17261200
8,3,23700800
1,4,471900
2,4,1620100
3,4,3843800
4,4,7127500
5,4,11902500
6,4,16752200
7,4,23164500
8,4,30148000
1,1,94700
2,1,362400
3,1,815300
4,1,1640800
5,1,2392500
6,1,3513300
7,1,4857500
8,1,6586900
1,2,182800
2,2,707400
3,2,1703600
4,2,3082000
5,2,5119300
6,2,7478200
7,2,10176900
8,2,13357600
1,3,315700
2,3,1215600
3,3,2888300
4,3,5140200
5,3,8560700
6,3,12541700
7,3,17786300
8,3,22816800
1,4,419000
2,4,1684600
3,4,4015500
4,4,6889500
5,4,11383800
6,4,16744400
7,4,24547800
8,4,30601400
1,1,96000
2,1,354900
3,1,830800
4,1,1508400
5,1,2439400
6,1,3540200
7,1,5137800
8,1,6413500
1,2,182900
2,2,713600
3,2,1658600
4,2,3197500
5,2,5058000
6,2,7301500
7,2,10400700
8,2,13298400
1,3,314500
2,3,1267600
3,3,2875800
4,3,5326200
5,3,8808700
6,3,12674300
7,3,17299700
8,3,23034900
1,4,418400
2,4,1627000
3,4,4143200
4,4,7061300
5,4,11614600
6,4,16853200
7,4,24308600
8,4,30646400
1,1,103100
2,1,355400
3,1,816000
4,1,1505300
5,1,2431900
6,1,3534900
7,1,4898200
8,1,6613300
1,2,182200
2,2,706300
3,2,2731200
4,2,3358200
5,2,5157600
6,2,7817000
7,2,10192800
8,2,13658300
1,3,318400
2,3,1214200
3,3,2857100
4,3,5503300
5,3,8906400
6,3,12743100
7,3,18125500
8,3,23897200
1,4,424000
2,4,1860200
3,4,3815600
4,4,7016500
5,4,11854000
6,4,16988700
7,4,23257100
8,4,30475700
1,1,93500
2,1,352100
3,1,821600
4,1,1836600
5,1,2411800
6,1,3652600
7,1,5114400
8,1,6871000
1,2,181000
2,2,791500
3,2,1691200
4,2,3134200
5,2,5266300
6,2,8062500
7,2,11382800
8,2,13879900
1,3,317200
2,3,1211500
3,3,3288500
4,3,5776300
5,3,9471000
6,3,12651800
7,3,17567800
8,3,24298900
1,4,424000
2,4,1875700
3,4,3795100
4,4,7949000
5,4,12326100
6,4,17449600
7,4,23260100
8,4,30710600
1,1,94700
2,1,356200
3,1,816000
4,1,1527300
5,1,2396900
6,1,3574200
7,1,4864100
8,1,6894100
1,2,181300
2,2,724500
3,2,1677500
4,2,3119300
5,2,5715700
6,2,7521500
7,2,10803400
8,2,13744000
